"peak","position","identifier","name","type","n_raw_ht","n_cor_ht","n_um","p_raw_ht","p_cor_ht","p_um","run_name","run_date","operator"
11,"SR:11","C6",NA,"Calibrant",0.04,0.034,13.72,0.001,0.001,0.609,"sample_run_2019-03-06","3/6/2019","apimenta_103"
12,"SR:12","C7",NA,"Calibrant",0.012,0.006,1.426,0.002,0.001,1.362,"sample_run_2019-03-06","3/6/2019","apimenta_103"
13,"SR:13","C8",NA,"Calibrant",0.011,0.005,1.008,0.009,0.008,7.722,"sample_run_2019-03-06","3/6/2019","apimenta_103"
14,"SR:14","C9",NA,"Calibrant",0.009,0.004,0.683,0.017,0.016,15.158,"sample_run_2019-03-06","3/6/2019","apimenta_103"
15,"SR:15","CC1","NO3 100 uM","Check Cal",0.23,0.225,98.909,0.001,0,0.235,"sample_run_2019-03-06","3/6/2019","apimenta_103"
16,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.035,0.031,12.529,0.007,0.006,5.956,"sample_run_2019-03-06","3/6/2019","apimenta_103"
17,"SR:5","PAUSE",NA,"Pause",0.009,0.005,0.964,0,-0.001,-0.598,"sample_run_2019-03-06","3/6/2019","apimenta_103"
18,"SR:1","SYNC",NA,"SYNC",0.562,0.559,247.317,0.198,0.197,183.492,"sample_run_2019-03-06","3/6/2019","apimenta_103"
19,"0","AutoWash",NA,"AutoWash",0.023,0.021,7.932,0.001,0.001,1.092,"sample_run_2019-03-06","3/6/2019","apimenta_103"
20,"0","AutoWash",NA,"AutoWash",0.002,0,-1.304,0,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
21,"1:1","1","digested milliQ","Unknown",0.008,0.006,1.528,0.001,0,0.421,"sample_run_2019-03-06","3/6/2019","apimenta_103"
22,"1:2","2","Steve Shivers 2 standard","Unknown",0.265,0.264,116.082,0.004,0.003,3.339,"sample_run_2019-03-06","3/6/2019","apimenta_103"
23,"1:3","3","Steve Shivers 2 standard","Unknown",0.278,0.276,121.464,0.004,0.004,3.422,"sample_run_2019-03-06","3/6/2019","apimenta_103"
24,"1:4","4","Steve Shivers 2 standard","Unknown",0.281,0.28,123.094,0.004,0.004,3.464,"sample_run_2019-03-06","3/6/2019","apimenta_103"
25,"1:5","5","20180927 M1","Unknown",0.156,0.154,67.34,0.002,0.001,1.215,"sample_run_2019-03-06","3/6/2019","apimenta_103"
26,"1:6","6","20180927 M2","Unknown",0.152,0.151,65.988,0.002,0.001,1.268,"sample_run_2019-03-06","3/6/2019","apimenta_103"
27,"1:7","7","20180927 M3","Unknown",0.149,0.148,64.33,0.001,0.001,1.142,"sample_run_2019-03-06","3/6/2019","apimenta_103"
28,"1:8","8","20181001 W1","Unknown",0.094,0.094,40.312,0.002,0.001,1.214,"sample_run_2019-03-06","3/6/2019","apimenta_103"
29,"1:9","9","20181001 W2","Unknown",0.092,0.091,39.092,0.002,0.001,1.206,"sample_run_2019-03-06","3/6/2019","apimenta_103"
30,"1:10","10","20181001 W3","Unknown",0.095,0.094,40.492,0.002,0.001,1.204,"sample_run_2019-03-06","3/6/2019","apimenta_103"
31,"0","AutoWash",NA,"AutoWash",0.004,0.003,0.189,0,0,0.083,"sample_run_2019-03-06","3/6/2019","apimenta_103"
32,"0","AutoWash",NA,"AutoWash",0,0,-1.304,0,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
33,"1:10","10dup","20181001 W3","Unknown",0.091,0.091,39.049,0.002,0.001,1.269,"sample_run_2019-03-06","3/6/2019","apimenta_103"
34,"1:11","11","20181001 M1","Unknown",0.153,0.153,66.551,0.002,0.001,1.365,"sample_run_2019-03-06","3/6/2019","apimenta_103"
35,"1:12","12","20181001 M2","Unknown",0.15,0.15,65.199,0.002,0.001,1.278,"sample_run_2019-03-06","3/6/2019","apimenta_103"
36,"1:13","13","digested milliQ","Unknown",0.017,0.017,6.277,0.001,0,0.542,"sample_run_2019-03-06","3/6/2019","apimenta_103"
37,"1:14","14","20181001 M3","Unknown",0.144,0.143,62.478,0.002,0.001,1.241,"sample_run_2019-03-06","3/6/2019","apimenta_103"
38,"SR:15","CC1","NO3 100 uM","Check Cal",0.219,0.218,95.781,0.001,0.001,0.596,"sample_run_2019-03-06","3/6/2019","apimenta_103"
